name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Trojuhelnik,Velke X,Vypis prvocisel
+,1.50,1.33,1.00,0.17,2.33,0.50,0.83,0.17,1.33,0.17,0.00,0.33,0.00,0.83,1.17,1.33,0.83,1.33,0.50,2.00,0.00,0.83,2.00
-,1.50,0.17,0.17,0.00,1.67,0.00,0.00,0.67,0.33,0.00,0.00,0.33,1.50,0.83,0.00,0.33,0.00,0.33,0.00,0.00,0.33,1.00,0.00
*,2.00,0.00,0.00,0.00,2.67,0.17,0.50,1.00,0.00,0.83,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.17,0.33,0.00,0.33,0.17,0.00
/,0.00,1.50,1.17,0.00,0.00,0.00,0.17,0.00,0.33,0.00,0.00,0.00,0.17,0.50,0.33,0.00,0.00,0.17,0.33,0.00,0.00,0.67,0.00
for,0.83,0.00,0.17,1.83,1.67,1.00,0.00,0.50,1.00,1.00,1.17,0.50,0.50,2.50,1.17,0.83,2.00,0.50,1.00,1.67,1.33,1.83,1.00
while,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67
print,0.00,1.00,0.00,3.33,2.50,1.17,1.17,0.00,2.00,1.00,0.00,0.00,0.00,1.33,0.00,0.00,2.83,0.17,1.00,1.00,1.00,0.67,0.33
%,0.00,1.00,0.50,1.33,0.00,0.83,0.50,0.00,0.00,0.00,0.00,1.33,0.00,0.17,1.00,0.17,2.00,0.00,0.33,0.00,0.00,0.17,1.00
^,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
try:,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
if,0.33,0.67,1.00,1.33,0.83,1.00,0.00,0.33,0.00,0.17,1.83,1.17,1.17,0.00,1.17,1.00,1.17,0.33,0.33,0.83,0.17,1.17,1.83
 break,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
==,0.17,0.67,0.00,1.17,1.67,1.00,0.00,0.17,0.00,0.00,0.67,1.33,0.50,0.00,0.67,1.17,1.67,0.17,0.33,0.33,0.00,1.67,1.83
