name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Trojuhelnik,Velke X,Vypis prvocisel
+,1.20,1.40,1.00,0.20,2.20,0.20,1.00,0.20,1.20,0.20,0.00,0.40,0.00,0.60,1.00,1.00,0.40,1.20,0.40,1.80,0.00,0.80,2.20
-,1.40,0.00,0.00,0.00,1.60,0.00,0.00,0.60,0.40,0.00,0.00,0.00,1.60,0.80,0.00,0.40,0.00,0.40,0.00,0.00,0.40,0.80,0.00
*,2.20,0.00,0.00,0.00,3.00,0.20,0.40,1.00,0.00,0.80,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.20,0.20,0.00,0.40,0.20,0.00
/,0.00,1.40,1.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.60,0.40,0.00,0.00,0.20,0.20,0.00,0.00,0.80,0.00
for,0.80,0.00,0.20,1.80,1.60,1.00,0.00,0.40,1.00,1.00,1.00,0.60,0.40,2.40,1.20,0.80,2.00,0.40,1.00,1.60,1.40,1.80,1.00
while,0.00,0.80,0.80,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80
print,0.00,1.00,0.00,3.00,2.80,1.20,1.20,0.00,1.80,0.80,0.00,0.00,0.00,1.20,0.00,0.00,2.80,0.00,1.00,1.00,1.00,0.80,0.20
%,0.00,1.00,0.40,1.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.20,1.00,0.20,2.20,0.00,0.40,0.00,0.00,0.20,1.00
^,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
try:,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
if,0.20,0.80,1.00,1.20,0.80,1.00,0.00,0.40,0.00,0.20,1.80,1.00,1.20,0.00,1.20,1.00,1.20,0.40,0.40,0.80,0.00,1.00,1.80
 break,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
==,0.20,0.80,0.00,1.00,1.20,1.00,0.00,0.20,0.00,0.00,0.60,1.40,0.60,0.00,0.80,1.20,1.80,0.20,0.40,0.40,0.00,1.60,1.80
