name;+;-;*;/;for;while;print;%;^;try:;if; break;==
Binarni cislo;1.50;1.50;2.00;0.00;0.83;0.00;0.00;0.00;0.00;0.33;0.33;0.00;0.17
Binarni zapis;1.33;0.17;0.00;1.50;0.00;0.83;1.00;1.00;0.00;0.00;0.67;0.00;0.67
Ciferny soucet;1.00;0.17;0.00;1.17;0.17;0.83;0.00;0.50;0.00;0.00;1.00;0.00;0.00
Cik-cak;0.17;0.00;0.00;0.00;1.83;0.00;3.33;1.33;0.00;0.00;1.33;0.00;1.17
Ctverec;2.33;1.67;2.67;0.00;1.67;0.00;2.50;0.00;0.00;0.00;0.83;0.00;1.67
Delitele;0.50;0.00;0.17;0.00;1.00;0.00;1.17;0.83;0.00;0.00;1.00;0.00;1.00
Dvojnasobek;0.83;0.00;0.50;0.17;0.00;0.00;1.17;0.50;0.00;0.00;0.00;0.00;0.00
Faktorial;0.17;0.67;1.00;0.00;0.50;0.17;0.00;0.00;0.00;0.00;0.33;0.00;0.17
Fibonacciho posloupnost;1.33;0.33;0.00;0.33;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.17;0.00;0.83;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.17;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.17;0.00;0.00;0.00;0.00;0.00;1.83;0.00;0.67
Nejvetsi spolecny delitel;0.33;0.33;0.00;0.00;0.50;0.33;0.00;1.33;0.00;0.00;1.17;0.00;1.33
Palindrom;0.00;1.50;0.00;0.17;0.50;0.00;0.00;0.00;0.00;0.00;1.17;0.00;0.50
Pascaluv trojuhelnik;0.83;0.83;0.83;0.50;2.50;0.00;1.33;0.17;0.00;0.00;0.00;0.00;0.00
Pocet delitelu;1.17;0.00;0.00;0.33;1.17;0.00;0.00;1.00;0.00;0.00;1.17;0.00;0.67
Prvni pismena;1.33;0.33;0.00;0.00;0.83;0.00;0.00;0.17;0.00;0.00;1.00;0.00;1.17
Sachovnice;0.83;0.00;0.00;0.00;2.00;0.00;2.83;2.00;0.00;0.00;1.17;0.00;1.67
Soucet;1.33;0.33;0.17;0.17;0.50;0.00;0.17;0.00;0.00;0.00;0.33;0.00;0.17
Suda cisla;0.50;0.00;0.33;0.33;1.00;0.00;1.00;0.33;0.00;0.00;0.33;0.00;0.33
Tajna posloupnost;2.00;0.00;0.00;0.00;1.67;0.00;1.00;0.00;0.00;0.00;0.83;0.00;0.33
Trojuhelnik;0.00;0.33;0.33;0.00;1.33;0.00;1.00;0.00;0.00;0.00;0.17;0.00;0.00
Velke X;0.83;1.00;0.17;0.67;1.83;0.00;0.67;0.17;0.00;0.00;1.17;0.00;1.67
Vypis prvocisel;2.00;0.00;0.00;0.00;1.00;0.67;0.33;1.00;0.00;0.00;1.83;0.00;1.83
