name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Vypis prvocisel
Add,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sub,1.00,0.00,0.00,2.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00
Mult,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Div,1.00,2.00,1.00,0.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,1.00,2.00,1.00,0.00,2.00
For,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
While,0.00,1.00,0.00,4.00,3.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,0.00,1.00,1.00,1.00
Print,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mod,0.00,1.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00
If,1.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,2.00
Eq,0.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Is,1.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,2.00
