name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.67;1.00;0.00;1.67;0.00;0.00;0.00;0.00;0.33;0.67;0.50
Binarni zapis;0.00;0.00;0.00;1.33;0.83;1.00;0.33;1.00;0.67;0.00;0.67
Ciferny soucet;0.33;0.33;0.00;1.17;0.67;0.00;0.67;1.00;0.00;0.00;0.00
Cik-cak;0.00;1.83;0.00;0.17;0.00;3.33;0.00;1.33;1.17;0.00;1.33
Ctverec;1.67;1.67;0.00;1.33;0.00;2.50;0.00;0.00;1.67;0.83;0.83
Delitele;0.00;1.00;0.00;0.50;0.00;1.17;0.00;0.83;1.00;0.17;1.00
Dvojnasobek;0.00;0.00;0.00;0.67;0.00;0.83;0.00;0.17;0.00;0.67;0.00
Faktorial;0.67;0.50;0.00;0.17;0.17;0.00;0.00;0.00;0.17;1.00;0.33
Fibonacciho posloupnost;0.33;1.00;0.00;1.33;0.00;1.83;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.17;1.00;0.00;0.33;0.00;1.33;0.00;0.00;0.00;0.67;0.00
Nejdelsi slovo;0.00;1.17;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.00;1.83
Nejvetsi spolecny delitel;0.33;0.50;0.00;0.33;0.33;0.00;0.00;1.33;1.33;0.00;1.17
Palindrom;0.67;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;1.17
Pascaluv trojuhelnik;0.67;2.67;0.00;1.33;0.00;1.67;0.33;0.00;0.00;0.67;0.00
Pocet delitelu;0.00;0.83;0.00;1.33;0.00;0.00;0.00;1.00;0.67;0.00;1.00
Prvni pismena;0.33;0.83;0.00;1.33;0.00;0.00;0.00;0.17;1.00;0.00;0.83
Sachovnice;0.00;2.00;0.00;0.83;0.00;3.00;0.00;2.00;1.67;0.00;1.17
Soucet;0.17;0.33;0.00;1.00;0.00;0.00;0.17;0.00;0.17;0.33;0.17
Suda cisla;0.00;1.00;0.00;0.50;0.00;1.00;0.33;0.33;0.33;0.33;0.33
Tajna posloupnost;0.00;1.67;0.00;2.00;0.00;1.00;0.00;0.00;0.33;0.00;0.83
Vypis prvocisel;0.00;1.17;0.00;2.17;0.50;0.50;0.00;1.00;2.00;0.00;1.83
