name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Vypis prvocisel
Add,1.67,1.33,1.17,0.17,1.33,0.50,1.17,0.17,1.33,0.33,0.00,0.33,0.00,1.33,1.33,1.33,0.83,1.17,0.50,2.00,2.17
Sub,1.67,0.00,0.33,0.00,1.67,0.00,0.00,0.67,0.33,0.17,0.00,0.33,1.00,0.67,0.00,0.33,0.00,0.50,0.00,0.00,0.00
Mult,0.67,0.00,0.00,0.00,0.83,0.17,0.67,1.00,0.00,0.67,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.17,0.33,0.00,0.00
Div,0.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.33,0.00,0.00,0.00,0.17,0.33,0.00,0.00
For,1.00,0.00,0.33,1.83,1.67,1.00,0.00,0.50,1.00,1.00,1.17,0.50,0.50,2.67,0.83,0.83,2.00,0.33,1.00,1.67,1.17
While,0.00,0.83,0.67,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.50
Print,0.00,1.00,0.00,3.33,2.50,1.17,1.17,0.00,1.83,1.33,0.00,0.00,0.00,1.67,0.00,0.00,3.00,0.00,1.00,1.00,0.50
Mod,0.00,1.00,1.00,1.33,0.00,0.83,0.17,0.00,0.00,0.00,0.00,1.33,0.00,0.00,1.00,0.17,2.00,0.00,0.33,0.00,1.00
If,0.50,0.67,0.00,1.33,0.83,1.00,0.00,0.33,0.00,0.00,1.83,1.17,1.17,0.00,1.00,0.83,1.17,0.33,0.33,0.83,1.83
Eq,0.33,0.67,0.00,1.17,1.67,1.00,0.00,0.17,0.00,0.00,0.67,1.33,0.50,0.00,0.67,1.00,1.67,0.17,0.33,0.33,2.00
Is,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
